folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,ahi_c,sleep: apnea hypopnea index (ahi),,numeric,,,,,,
Medical History,airway_dis,f103: history of reactive airway disease?,,choices,,airway_dis_2,,,,
Medical History/Medications,antiarrhythmics,on antiarrhythmics,,choices,,airway_dis_2,,,,
Medical History/Medications,anticoagulants_doacs,on anticoagulants - doacs,,choices,,airway_dis_2,,,,
Medical History/Medications,anticoagulants_other,on other anticoagulants,,choices,,airway_dis_2,,,,
Medical History/Medications,antihypertensives_other,on other htn,,choices,,airway_dis_2,,,,
Medical History,atrial_arrhy,"f103: history of atrial arrhythmia (no, past and/or current)",,choices,,atrial_arrhy_4,,,,
Anthropometry,bmi,bmi (kg/m2),,numeric,,,,,,
Medical History,c_ohs,f102: group 3 comp: obesity hypoventilation syndrome (ohs),,choices,,airway_dis_2,,,,
Medical History,c_osa,f102: group 3 comp: obstructive sleep apnea (osa),,choices,,airway_dis_2,,,,
Medical History,cab,f103: coronary artery bypass grafting or stenting of coronary artery?,,choices,,airway_dis_2,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,cai_c,sleep: central apnea index,,numeric,,,,,,
Medical History,cardiac_med,on cardiac medication,,choices,,airway_dis_2,,,,
Medical History,cardiac_shunt,f103: history of a cardiac shunt?,,choices,,airway_dis_2,,,,
Lifestyle and Behavioral Health,cig_pack_yrs,f105: cigarettes: packyrs smoked,,numeric,,,,,,
Sleep Treatment,cpap_used,sleep study: used pap device,,choices,,airway_dis_2,,,,
Medical History,cva,"f103: cva (no, with / without residual deficit)?",,choices,,cva_3,,,,
Medical History,depression_yn,f103: history of clinically diagnosed depression (y/n),,choices,,airway_dis_2,,,,
Medical History,diabetes,f103: history of diabetes (y/n),,choices,,airway_dis_2,,,,
Medical History,exertion_lpm,"f110: if o2 used at exertion, how much?",,choices,,exertion_lpm_5,,,,
Medical History,exertion_o2,f110: is participant currently using o2 on exertion?,,choices,,airway_dis_2,,,,
Physiologic Measurements/Cardiovascular Assessments,f_compgrp,final comparator group (with mixed details),,choices,,f_compgrp_17,,,,
Physiologic Measurements/Cardiovascular Assessments,f_group,final wsph group (with mixed details),,choices,,f_group_36,,,,
Physiologic Measurements/Cardiovascular Assessments,f_status,final pvd status,,choices,,f_status_3,,,,
Physiologic Measurements/Cardiovascular Assessments,f_wnowt,final wsph group (primary only),,choices,,f_wnowt_5,,,,
Physiologic Measurements/Cardiovascular Assessments,f_wnowt_c,final comparator group (primary only),,choices,,f_wnowt_c_5,,,,
Physiologic Measurements,fc,f115: functional class,,choices,,fc_4,,,,
Sociodemographics,female,female,,choices,,airway_dis_2,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,hi_c,sleep study: hypopnea index,,numeric,,,,,,
Sociodemographics,hispanic,hispanic ethnicity,,choices,,airway_dis_2,,,,
Medical History,hypertension,f103: history of hypertension,,choices,,airway_dis_2,,,,
Medical History,hypothyroidism,f103: hypothyroidism?,,choices,,airway_dis_2,,,,
Medical History,mi,f103: myocardial infarction (mi)?,,choices,,airway_dis_2,,,,
Medical History,night_lpm,"f110: if o2 used at night, how much?",,choices,,exertion_lpm_5,,,,
Medical History,night_o2,f110: is participant currently using o2 at night?,,choices,,airway_dis_2,,,,
Medical History,o2_night,sleep study: used o2 during the night,,choices,,airway_dis_2,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,oahi_c,sleep: obstructive apnea hypopnea index (oahi),,numeric,,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Oxygen Saturation Metrics,odi3p,sleep: oxygen desaturation index 3% (odi) (events/hour),,numeric,,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Oxygen Saturation Metrics,odi4p,sleep: oxygen desaturation index 4% (odi) (events/hour),,numeric,,,,,,
Medical History,ohs,f102: group 3: ohs,,choices,,airway_dis_2,,,,
Medical History,osa,f102: group 3: osa,,choices,,airway_dis_2,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Oxygen Saturation Metrics,pctlt90_c,sleep: percentage of recording time <90% o2 saturation,,numeric,,,,,,
Medical History,ph_age_diag,f102: age at diagnosis (yrs),,numeric,,,,,,
Medical History/Medications,ph_ccb,on ccb meds for ph,,choices,,airway_dis_2,,,,
Medical History/Medications,ph_era,ph meds: endothelin receptor antagonists (eras),,choices,,airway_dis_2,,,,
Medical History/Medications,ph_med,on ph medication,,choices,,airway_dis_2,,,,
Medical History/Medications,ph_pde5i,ph med: pde5i,,choices,,airway_dis_2,,,,
Medical History,ph_prev,ph: diagnosed prior enrollment,,choices,,airway_dis_2,,,,
Medical History/Medications,ph_prost,ph meds: prostanoids,,choices,,airway_dis_2,,,,
Medical History/Medications,ph_sgc,ph med: soluble guanylate cyclase stimulator,,choices,,airway_dis_2,,,,
Medical History,ph_yrs,f102: years of ph at time of enrollment,,numeric,,,,,,
Administrative,pvdsleep,sleep study: pvdomics or alternative,,choices,,pvdsleep_2,,,,
Sociodemographics,race,race,,choices,,race_6,,,,
Medical History,rest_lpm,"f110: if o2 used at rest, how much?",,choices,,exertion_lpm_5,,,,
Medical History,rest_o2,f110: is participant currently using o2 at rest?,,choices,,airway_dis_2,,,,
Medical History,shunt_all,"history of shunt, status",,choices,,shunt_all_4,,,,
Medical History,shunt_asd,f103: atrial septal defect (asd),,choices,,airway_dis_2,,,,
Medical History,shunt_pfo,f103: patent foramen ovale (pfo),,choices,,airway_dis_2,,,,
Medical History,shunt_septostomy,f103: atrial septostomy,,choices,,airway_dis_2,,,,
Medical History,shunt_status,"f103: if cardiac shunt, status of shunt",,choices,,shunt_status_3,,,,
Medical History,shunt_vsd,f103: ventricular septal defect (vsd),,choices,,airway_dis_2,,,,
Lifestyle and Behavioral Health,smoke,f105: current or former cigarette smoker,,choices,,airway_dis_2,,,,
Medical History,tia,f103: cerebrovascular/tia disease?,,choices,,airway_dis_2,,,,
Lifestyle and Behavioral Health,tim_enr_quitcig,f105: cigarettes: years between enrollment and quitting,,numeric,,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,tot_sleep_tm,sleep study: total sleep time (min),,numeric,,,,,,
